English,standard bangla,romanized bangla,chakma,romanized chakma
Are these shoes compact and stylish?,এই জুতাগুলি কি কমপ্যাক্ট এবং স্টাইলিশ?,Ei juta-guli ki compact ebong stylish?,এই জুতো উন হি কম্প্যাক্ট আর স্টাইলিশ?,Ei juto un hi compact aar stylish?
Has this product received enough user reviews?,এই প্রোডাক্টটি কি ব্যবহারকারীদের পর্যাপ্ত রেভিউ পেয়েছে?,Ei product-ti ki bebohar-karider porjapto review peyeche?,এই পণ্য আন হি যথেষ্ট রিভিউ পিয়ি যিগুন ব্যবহার গুচ্ছোং?,Ei ponnyo aan hi jothesto review piyi jigun bebohar gucchoong?
Are there any designs on this fabric?,এই কাপড়ের উপর কোন ডিজাইন আছে?,Ei kaporer upor kono design ache?,এই হাবর আনর হন ডিজাইন আগে?,Ei habor aanor hono design aage?
Is this fabric durable?,এই কাপড়টি স্থায়ী কিনা,Ei kapor-ti sthayi kina?,এই হাবর আন স্থায়ী নাহি?,Ei habor aan sthayi nahi?
Do these shoes look great?,এই জুতাগুলি কি চমৎকার দেখতে?,Ei juta-guli ki chomotkar dekhte?,এই জুতো উন দেগতে চমৎকার,Ei juto un degte chomotkar
Are these boots right for me?,এই বুটগুলি আমার জন্য ঠিক আছে কি?,Ei boot-guli amar jonno thik ache ki?,এই বুট আনি হি মর লাই ঠিগ আগে?,Ei but aani hi mor lai thig aage?
How much is this garment selling for?,এই পোশাকটি কত দিয়ে বিক্রয় হচ্ছে?,Ei poshak-ti koto diye bikroy hocche?,এই হাবর আন হদক দি বেজা জেব?,Ei habor aan hodok di beja jeb?
Is this size in my size?,এটি আমার সাইজের আছে কি?,Eti amar size-er ache ki?,ইয়ান ম সাইজের আগে,Iyan mo saijer aage
Bangladesh is a South Asian country.,বাংলাদেশ একটি দক্ষিণ এশিয়ান দেশ।,Bangladesh ekti dokkhin Asian desh.,বাংলাদেজ আন ইজ্ঞু দক্ষিণ এশিয়ার দেজ,Bangladesh aan igne dokkhin Asiar desh
Dhaka is the capital and largest city of Bangladesh.,ঢাকা বাংলাদেশের রাজধানী এবং সবচেয়ে বড় শহর।,Dhaka Bangladesh-er rajdhani ebong shobcheye boro shohor.,ঢাকা বাংলাদেজর রাজধানী এবং বেগ দাঙর শহর,Dhaka Bangladesh-or rajdhani ebong beg daangor shohor
Bangladesh is a populous country.,বাংলাদেশ একটি জনবহুল দেশ।,Bangladesh ekti jonobohul desh.,বাংলাদেজ ইজ্ঞু জনবহুল দেজ,Bangladesh igne jonobohul desh
Bangladesh is located between the Ganges and Brahmaputra rivers.,গঙ্গা ও ব্রহ্মপুত্র নদীর মধ্যে অবস্থিত বাংলাদেশ।,Gonga o Brahmaputra nodir moddhe obosthito Bangladesh.,গংগা ও বক্ষপুত্র নদীতল্র আনির মধ্যেন্দি বাংলাদেজ আন আগে,Gonga o Brahmaputra noditolro aanir moddhendi Bangladesh aan aage
"According to the origin of Bangladesh, it experiences heavy rainfall.",বাংলাদেশের সূচনা অনুযায়ী বৃষ্টিতে প্রচুর আবহাওয়া হয়,Bangladesh-er shuchona onujayi brishtite prochur abohawa hoy.,বাংলাদেহর আবহাওয়া সূচনা ইনুসারে বেজ ঝড় বুয়ের অর,Bangladesh-or abohawa shuchona inusare bej jhor buyer or
Rajshahi is the last major city of Bangladesh.,রাজশাহী বাংলাদেশের শেষ বড় শহর।,Rajshahi Bangladesh-er shesh boro shohor.,মুই এই শাড়ি গহনা আনি সেবার সাঙ,Mui ei shari gohona aani shebar saang
Sundarbans is a special wetland in Bangladesh.,সুন্দরবন বাংলাদেশের একটি বিশেষ জলভূমি।,Sundorbon Bangladesh-er ekti bishes jolobhumi.,সন্দরবন আন বাংলাদেজের ইজ্ঞু বিশেষ জলভুমি,Sundorbon aan Bangladesh-er igne bishesh jolobhumi
Bengali is the main language in Bangladesh.,বাংলাদেশে বাংলা ভাষা প্রধান ভাষা,Bangladesh-e Bangla bhasha prodhan bhasha.,বাংলাদেজট বাংলা আন প্রধান ভাষা,Bangladesh-ot Bangla aan prodhan bhasha
Bangladesh is the largest language-speaking country in the world.,বাংলাদেশে বিশ্বের বৃহত্তম ভাষাভাষী দেশ,Bangladesh-e bissher brihottamo bhashabhashi desh.,বাংলাদেজ আন বিশ্ব আনট দাঙর ভাষাভাষির দেজ,Bangladesh aan bishsho aanot daangor bhashabhashir desh
Bangladesh's local currency is the taka.,বাংলাদেশের স্থানীয় মুদ্রা টাকা।,Bangladesh-er sthaniyo mudra Taka.,বাংলাদেজর স্থানীয় মুদ্রা আন টেঙা,Bangladesh-or sthaniyo mudra aan Tenga
Bangladesh has a famous shawl and cloth system.,বাংলাদেশে বহুচর্চিত শাল ও কাপড় প্রণালী।,Bangladesh-e bohu-chorchito shaal o kapor pronali.,বাংলাদেজত বেজ চর্চা অয়দি শাল আর হাবর ও প্রনালী।,Bangladesh-ot bej chorcha oydi shaal aar habor o pronali.
Bangladesh has a large number of Rohingya refugees.,বাংলাদেশে রোহিঙ্গা শরণার্থী বহুল সংখ্যক।,Bangladesh-e Rohingya shoronarthi bohul shongkhok.,বাংলাদেজট রোহিংগা শরনার্থী বেজ।,Bangladesh-ot Rohingya shoronarthi bej.
Bangladesh is a fairly large country from a geographical point of view.,ভূগোলের দৃষ্টিকোণ থেকে বাংলাদেশ একটি প্রায়প্ত সমবায়।,Bhugoler drishtikon theke Bangladesh ekti prayapto shomobay.,ভূগোলোর দৃষ্টিকোনাট্টোন বাংলাদেজ ইজ্ঞু প্রায়প্ত সমবায়,Bhugolor drishtikonatton Bangladesh igne prayopto shomobay
Bangladesh is proud of its cultural heritage of the Bangladesh Liberation War.,বাংলাদেশে বাংলাদেশ মুক্তিযুদ্ধ সাংস্কৃতিক ঐতিহ্যে গর্বিত।,Bangladesh-e Bangladesh muktijuddho sangskritik oitihhye gorobito.,বাংলাদেজত বাংলাদেশ মুক্তিযুদ্ধ সাংস্কৃতিক ঐতিহ্যের লাই গর্বিত।,Bangladesh-ot Bangladesh muktijuddho shangskritik oitihasher lai gorbito.
Pahela Boishakh is widely celebrated as the first day of the year in Bangladesh.,পহেলা বৈশাখ বাংলাদেশে বছরের প্রথম দিন হিসেবে প্রচুরভাবে পালন করা হয়।,Pohela Boishakh Bangladesh-e bochorer prothom din hishebe prochur-bhabe palon kora hoy.,পহেলা বৈশাখ আন বাংলাদেজত বজরর প্রথম দিন ইজেবে বেজ গুরি পালানো অই,Pohela Boishakh aan Bangladesh-ot bojoror prothom din ijebe bej guri palano oi
Kwamiya is held every year in Bangladesh.,বাংলাদেশে কোয়ামিউল্যাইয়া প্রতি বছর অনুষ্ঠিত হয়।,Bangladesh-e Koamiyulaiya proti bochor onusthito hoy.,প্রতি বছর বাংলাদেজত কোয়ামিউলাইয়্যা বজে,Proti bochor Bangladesh-ot qoiamulaiyya boje
Baul culture in Bangladesh is a secondary character with the saints coming together.,বাংলাদেশে বাউল সংস্কৃতি একটি মাধ্যমিক চরিত্রের সাথে পরিপন্থী সাধুগণ একত্র আসে।,Bangladesh-e baul shongskriti ekti maddhomik choritrer shathe poriponthi shadhugon ekotro ashe.,বাংলাদেজত বাউল সংস্কৃতির ইজ্ঞু মধ্য চরিত্রের লগে পরিপন্থি সাধু উনোয় এক লগে এজন,Bangladesh-ot Baul shongskritir igne moddho choritrer loge poriponthi shadhu unoy ek loge ejon
